,adapt,adp_v,avg_rate,fast_trough_t,fast_trough_v,fi_fit_slope,first_isi,input_resistance,isi_cv,latency,mean_isi,median_isi,peak_t,peak_v,rheo_first_isi,rheobase_i,sag,stim_amp,tau,threshold_v,trough_t,trough_v,upstroke_downstroke_ratio,v_baseline,vm_for_sag,width
601958678,0.05429049981080356,,8.000160003200065,0.66364,-45.28125381469727,0.1213866055156428,0.07879999999999998,116.79690331220628,0.17087529285033187,0.06054000000000004,0.12972,0.13792000000000004,0.6614399999999999,48.8125,,140.0,0.07893210649490356,190.0,0.01888336710727552,-34.093753814697266,0.7219399999999999,-49.03125381469727,3.2190635869234048,-66.61899381070522,-80.18750762939453,0.000920000000000032
602165685,0.03493744069122321,,9.000180003600073,0.7637400000000001,-57.84375381469727,0.10075318877269568,0.07069999999999999,190.36461412906647,0.16578282705847613,0.07957999999999997,0.1125325,0.11797000000000002,0.76156,36.56250381469727,,80.0,0.023755906149744987,130.0,0.028267666327377382,-39.8125,0.7641800000000001,-58.18750381469727,2.3758095472615115,-80.49793690648572,-101.34375762939452,0.0007600000000000938
602234640,0.08131559095540243,,11.000220004400088,0.7181,-51.28125,0.16746802521586704,0.02436000000000016,288.34766149520874,0.2974120642738805,0.045499999999999874,0.08492000000000002,0.09333000000000002,0.71482,41.37500381469727,,29.99999809265137,0.1175788938999176,70.0,0.03999048040213369,-39.65625,1.3903,-55.06250381469727,5.876869970985208,-65.31938750168374,-96.28125,0.00124000000000013
611616275,,-45.96875381469727,1.0000200004000082,0.76864,-49.09375381469727,0.07394087292499295,,86.58860623836517,,0.18459999999999988,,,0.7667999999999999,51.84375,0.56274,190.0,0.017477555200457573,230.0,0.021313342955753583,-36.0625,0.8137399999999999,-50.78125381469727,3.1492064618357336,-73.8656843085038,-84.03125762939453,0.0006999999999999228
611630983,,,1.0000200004000082,0.7159399999999999,-48.03125,0.06796366876620978,,129.81776893138883,,0.10989999999999987,,,0.7143200000000001,49.50000381469727,0.5251399999999999,140.0,0.02443050593137741,190.0,0.025268678883439238,-34.656253814697266,0.7721199999999999,-49.4375,2.8424276432244064,-73.21908968970891,-87.18750762939453,0.0007399999999999629
611926705,0.2682455783756089,,5.000100002000041,0.7802399999999999,-52.09375,0.10064324402871518,0.025959999999999983,147.26562798023227,0.5017519723508715,0.10870000000000002,0.19045,0.23956,0.7776000000000001,41.34375381469727,,90.0,0.042784977704286575,130.0,0.03874410139658019,-40.375,0.8889600000000001,-56.53125381469727,3.430003837253319,-72.42272455552045,-89.65625762939453,0.0011200000000000099
642862180,0.020164777687136915,,7.000140002800058,1.44894,-56.09375381469727,0.10347045492168287,0.13717999999999986,109.37496274709702,0.06846379221538948,0.08024000000000009,0.15188333333333334,0.15225,1.44672,38.56250381469727,,90.0,0.03743065521121025,130.0,0.026163347415296904,-38.78125,1.44926,-56.3125,3.1264647184837435,-64.35719062542093,-77.375,0.0009799999999999807
642864559,0.04180679168895296,,8.000160003200065,0.7021,-52.90625381469727,0.09057558200344336,0.07742000000000004,112.49999701976776,0.16114024941086494,0.06357999999999997,0.12194,0.12846000000000002,0.6999199999999999,48.62500381469727,,130.0,0.031686533242464066,190.0,0.02462415131420861,-38.34375381469727,0.75766,-55.125,3.706304686555205,-74.3322275797526,-87.09375762939453,0.0009799999999999807
642867575,0.07283224452262321,,5.000100002000041,0.6568799999999999,-50.875,0.06846843321093785,0.1666399999999999,112.10937052965164,0.16630697265782698,0.06718000000000003,0.22801999999999997,0.24255000000000004,0.65378,45.3125,,119.99999237060548,0.13895978033542633,160.0,0.02864538350045317,-38.40625381469727,0.7280399999999999,-54.59375381469727,3.9983103376442646,-66.01339054107666,-78.625,0.0012800000000001699
650074936,0.06874489209560126,,11.000220004400088,0.59348,-52.875,0.2000039953115348,0.03391999999999995,203.125,0.30034915988490873,0.034599999999999964,0.092984,0.10809000000000013,0.5892200000000001,33.375003814697266,0.19391999999999987,29.99999809265137,0.12819665670394895,70.0,0.02948419264519487,-42.09375381469727,0.59396,-53.15625381469727,4.449212358394044,-58.74829959869385,-81.84375762939453,0.0016799999999999038
652075403,,,1.0000200004000082,0.6231599999999999,-55.53125381469727,-1.7262914967286852e-18,,49.53136295080185,,0.06736000000000009,,,0.6207600000000001,40.4375,,310.0,0.14579561352729795,350.0,0.017331491267673645,-41.71875,0.6859,-62.28125381469727,3.3766601123497693,-76.5541751568134,-82.21875,0.0009399999999999408
653034602,0.13619049579650064,,9.000180003600073,0.6003399999999999,-51.6875,-0.018373861872597017,0.01195999999999997,70.93746215105055,0.3561208637530239,0.039179999999999986,0.104065,0.11204000000000004,0.5980800000000001,49.28125,0.21775999999999995,200.0,0.10418562591075896,239.9999847412109,0.018299292345493032,-40.53125,0.6005799999999999,-51.81250381469727,3.8193687291761176,-71.94988795689174,-81.31250762939453,0.000920000000000032
653040833,0.07890208921708451,,17.000340006800133,0.6227600000000001,-48.96875,0.20000402082283456,0.008840000000000181,199.68752562999725,0.536492244561735,0.0391999999999999,0.05621125,0.06567,0.62026,45.375,0.009600000000000051,40.0,0.05323182791471481,80.0,0.022486267993046115,-40.31250381469727,0.6230199999999999,-49.125,4.072077110157797,-67.17733764648439,-91.12500762939452,0.001000000000000112
653804581,0.0691058146750468,,5.000100002000041,0.6448,-53.50000381469727,0.1240024846883638,0.1287999999999998,91.09371155500412,0.1756268926435026,0.06048000000000009,0.18433999999999995,0.19973000000000007,0.6425399999999999,42.96875381469727,,160.0,0.04840861633419991,200.0,0.01840465334789169,-44.87500381469727,0.7168800000000001,-58.34375381469727,3.1217799072706933,-77.12523651123047,-87.46875,0.00099999999999989
653825043,,,1.0000200004000082,0.66442,-49.15625381469727,0.07785869811856612,,80.93760907649994,,0.07078000000000008,,,0.66214,48.90625,,200.0,0.017850831151008606,239.9999847412109,0.015130031411514571,-35.65625,0.7134799999999999,-52.34375381469727,3.0309898696170987,-77.50175539652506,-86.96875762939453,0.0009399999999999408
653825083,0.04401739638381665,-49.71875381469727,9.000180003600073,0.6299600000000001,-51.03125381469727,0.14733117505801482,0.06619999999999981,127.03125178813934,0.1645129500468877,0.06312000000000006,0.11278,0.11944,0.6280600000000001,43.68750381469727,0.26437999999999984,119.99999237060548,0.10012166947126387,160.0,0.022298417450286042,-39.21875381469727,0.66452,-52.21875381469727,2.6347629819132767,-73.99608688354492,-89.65625762939453,0.0007199999999998319
653854241,,,2.0000400008000163,0.7695399999999999,-50.96875,0.07250145002900057,0.4300600000000001,97.96874970197678,0.0,0.09837999999999993,0.4300600000000001,0.4300600000000001,0.7666,32.0,,190.0,0.03235254436731338,230.0,0.02555295713616279,-39.21875381469727,0.8317399999999999,-55.56250381469727,3.1318666147218908,-75.21740188598633,-86.4375,0.0011999999999998678
